a,b,c,d,e,f,g,h,i,j,k,l,m
AC Remote for Samsung - NOW FREE,TOOLS,3.7,566,27M,"100,000+",True,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2 and up
Pocket AC,PHOTOGRAPHY,4.8,130,4.4M,"1,000+",False,9.99,Everyone,Photography,2018-06-27,3.1.1,4.1 and up
AC Remote for Carrier - NOW FREE,TOOLS,3.7,163,26M,"10,000+",True,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2 and up
"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,3.6,3632,3.2M,"1,000,000+",True,0.0,Everyone,Tools,2017-11-13,11;11.26,4.0.3 and up
ac remote control,TOOLS,3.7,9514,7.0M,"500,000+",True,0.0,Everyone,Tools,2018-07-11,acremotecontrol-v7,4.0.3 and up
Free Adblocker Browser - Adblock & Popup Blocker,COMMUNICATION,4.4,152470,Varies with device,"10,000,000+",True,0.0,Everyone,Communication,2018-07-19,Varies with device,Varies with device
Ad Detect Plugin - Handy Tool,PRODUCTIVITY,3.8,5107,1.4M,"500,000+",True,0.0,Everyone,Productivity,2015-12-28,1.6.3,2.3 and up
AppBrain Ad Detector,TOOLS,3.7,9221,1.7M,"1,000,000+",True,0.0,Everyone,Tools,2018-04-12,2.2.1,4.1 and up
"AD - Nieuws, Sport, Regio & Entertainment",NEWS_AND_MAGAZINES,3.7,10369,Varies with device,"1,000,000+",True,0.0,Everyone,News & Magazines,2018-07-28,Varies with device,Varies with device
Flud (Ad free),VIDEO_PLAYERS,4.8,5639,Varies with device,"10,000+",False,1.49,Everyone,Video Players & Editors,2017-09-07,Varies with device,Varies with device
AdClear Ad blocker for Samsung,TOOLS,4.2,1586,1.5M,"500,000+",True,0.0,Everyone,Tools,2017-09-07,1.0.5,5.0 and up
Adblock Browser for Android,COMMUNICATION,4.1,121113,39M,"10,000,000+",True,0.0,Everyone,Communication,2018-07-11,1.4.0,4.1 and up
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2265084,6.1M,"50,000,000+",True,0.0,Everyone,Communication,2018-07-31,5.22.18.0006,4.0 and up
Adguard Content Blocker,TOOLS,4.1,14491,4.3M,"1,000,000+",True,0.0,Everyone,Tools,2018-02-26,2.1.2,Varies with device
tTorrent - ad free,VIDEO_PLAYERS,4.3,2976,Varies with device,"10,000+",False,1.99,Everyone,Video Players & Editors,2018-06-15,1.5.14,4.1 and up
cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8.3M,"50,000+",False,2.99,Everyone,Health & Fitness,2018-07-13,2.1.2,4.4 and up
Ad Detector,TOOLS,3.8,208,730k,"50,000+",True,0.0,Everyone,Tools,2014-07-28,1.0,2.3 and up
Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4.0,8769,2.1M,"1,000,000+",True,0.0,Everyone,Communication,2018-04-05,1.1.4,5.0 and up
MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26M,"10,000+",False,2.99,Everyone,Weather,2018-08-04,7.1.4,4.0.3 and up
Safe Notes - Secure Ad-free notepad,PRODUCTIVITY,4.6,3362,756k,"50,000+",True,0.0,Everyone,Productivity,2017-11-21,1.7,4.0 and up
Adblock Fast,PRODUCTIVITY,4.1,9914,3.2M,"1,000,000+",True,0.0,Everyone,Productivity,2017-05-17,1.4.0,5.0 and up
FVD Ad-Free,TOOLS,4.4,1774,4.1M,"10,000+",False,1.99,Everyone,Tools,2017-10-05,4.4.3,3.0 and up
2000 AD Comics and Judge Dredd,COMICS,3.7,705,20M,"50,000+",True,0.0,Teen,Comics,2018-07-19,1.3.0,4.0.3 and up
Anti Adware,TOOLS,3.9,18751,3.6M,"1,000,000+",True,0.0,Everyone,Tools,2018-06-19,3.6,4.1 and up
Ad Blocker Turbo - Adblocker Browser,COMMUNICATION,3.9,107,44M,"10,000+",True,0.0,Everyone,Communication,2018-01-29,1.0.5,4.1 and up
Weather & Radar Pro - Ad-Free,WEATHER,4.5,25243,26M,"100,000+",False,2.99,Everyone,Weather,2018-08-01,4.34.0,4.4 and up
ONScripter Plus (Ad Free),GAME,4.5,100,17M,"1,000+",False,3.99,Everyone,Adventure,2016-04-07,1.2.4,4.1 and up
Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1.1M,"10,000+",False,2.99,Everyone,Tools,2018-07-03,2.0.1,4.4 and up
Google AdSense,PRODUCTIVITY,4.3,52677,2.9M,"1,000,000+",True,0.0,Everyone,Productivity,2017-12-13,3.3,4.0 and up
Ad-free Triangle Solver,FAMILY,4.5,118,24M,"10,000+",True,0.0,Everyone,Education,2015-08-20,6.3.1,4.2 and up
Ez Screen Recorder (no ad),VIDEO_PLAYERS,4.7,8696,14M,"100,000+",True,0.0,Everyone,Video Players & Editors,2018-06-03,2.1.4,5.0 and up
Best Applock - Locker & No Ads,PRODUCTIVITY,4.7,10672,6.9M,"100,000+",True,0.0,Everyone,Productivity,2018-06-23,2.1.1,4.1 and up
Local Services ads by Google,BUSINESS,4.1,7,12M,"1,000+",True,0.0,Everyone,Business,2018-07-17,3.3.270,4.0 and up
Ad Block REMOVER - NEED ROOT,TOOLS,3.3,999,91k,"100,000+",True,0.0,Everyone,Tools,2013-12-17,3.2,2.2 and up
WhatsFake Pro (Ad free),SOCIAL,4.2,204,9.4M,"5,000+",False,0.99,Everyone,Social,2017-09-25,1.4,4.1 and up
Photo Compress 2.0 - Ad Free,TOOLS,4.1,6267,1.7M,"1,000,000+",True,0.0,Everyone,Tools,2016-05-07,2.1,3.2 and up
Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,293k,100+,False,6.49,Everyone,Productivity,2014-05-03,1.0,2.2 and up
Brave Browser: Fast AdBlocker,COMMUNICATION,4.3,40241,Varies with device,"5,000,000+",True,0.0,Everyone,Communication,2018-06-30,1.0.52,4.1 and up
Solitaire: Decked Out Ad Free,GAME,4.9,37302,35M,"500,000+",True,0.0,Everyone,Card,2017-05-08,1.3.3,4.1 and up
"WeatherClear - Ad-free Weather, Minute forecast",WEATHER,4.5,3252,3.8M,"50,000+",True,0.0,Everyone,Weather,2017-06-25,1.2.6,4.1 and up
Ad Remove Plugin for App2SD,PRODUCTIVITY,4.1,66,17k,"1,000+",False,1.29,Everyone,Productivity,2013-09-25,1.0.0,2.2 and up
"Digital Clock : Simple, Tiny, Ad-free Desk Clock.",LIFESTYLE,4.4,317,74k,"50,000+",True,0.0,Everyone,Lifestyle,2016-12-21,3.0,2.3 and up
Google Ads,BUSINESS,4.3,29331,20M,"5,000,000+",True,0.0,Everyone,Business,2018-07-30,1.12.0,4.0.3 and up
RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1.1M,"10,000+",False,2.99,Everyone,Tools,2016-07-26,3.0,4.1 and up
Emo Ads Blocker Browser,TOOLS,3.4,1555,4.1M,"100,000+",True,0.0,Everyone,Tools,2015-09-17,1.4,3.0 and up
Bing Ads,BUSINESS,4.1,1828,13M,"100,000+",True,0.0,Everyone,Business,2018-07-20,2.13.2,4.1 and up
My baby firework (Remove ad),FAMILY,4.1,30,14k,"1,000+",False,0.99,Everyone,Entertainment,2013-04-25,Varies with device,Varies with device
Apps Ads Detector,TOOLS,3.5,315,8.3M,"100,000+",True,0.0,Everyone,Tools,2018-02-19,25,4.0.3 and up
TIMBER AD FILTER - Very useful ad block app,PRODUCTIVITY,3.8,1343,9.0M,"100,000+",True,0.0,Everyone,Productivity,2018-03-12,1.0.26,5.0 and up
Alchemy Classic Ad Free,FAMILY,4.6,20178,9.0M,"100,000+",True,0.0,Everyone,Puzzle,2014-05-26,1.7.3,1.6 and up
Mobi Calculator free & AD free!,TOOLS,4.6,77302,Varies with device,"5,000,000+",True,0.0,Everyone,Tools,2018-01-09,Varies with device,Varies with device
Easy Hotspot Ad Free,TOOLS,5.0,2,3.3M,10+,False,0.99,Everyone,Tools,2018-07-26,1.05,4.0 and up
Flipp - Weekly Shopping,SHOPPING,4.6,85782,Varies with device,"10,000,000+",True,0.0,Everyone,Shopping,2018-07-30,Varies with device,Varies with device
"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",SHOPPING,4.2,20476,28M,"1,000,000+",True,0.0,Everyone,Shopping,2018-07-17,5.6.0,4.4 and up
A&E - Watch Full Episodes of TV Shows,FAMILY,4.0,29708,19M,"1,000,000+",True,0.0,Teen,Entertainment,2018-07-16,3.1.4,4.4 and up
Adobe Premiere Clip,VIDEO_PLAYERS,3.9,39495,59M,"5,000,000+",True,0.0,Everyone,Video Players & Editors,2018-06-26,1.1.4.1296,4.4 and up
Shortcuts for After Effects,FAMILY,3.7,464,1.9M,"50,000+",True,0.0,Everyone,Education,2014-08-09,1.0,2.3 and up
AE Sudoku,FAMILY,4.3,2171,12M,"100,000+",True,0.0,Everyone,Puzzle,2015-07-29,1.1.0,2.2 and up
ESS Mobile for AE,PRODUCTIVITY,1.9,63,1.8M,"5,000+",True,0.0,Everyone,Productivity,2016-09-27,2.0.1027,3.0 and up
AE Jewels 2: Island Adventures,GAME,4.2,652,30M,"10,000+",True,0.0,Everyone,Action,2016-02-24,1.0,2.3 and up
AE Bubble:Offline Bubble Games,FAMILY,4.2,6973,Varies with device,"100,000+",True,0.0,Everyone,Casual,2017-10-20,Varies with device,Varies with device
AE Basketball,SPORTS,4.0,8100,Varies with device,"1,000,000+",True,0.0,Everyone,Sports,2013-11-20,Varies with device,Varies with device
